school_name_2009,grade_range_2009,floors,year_built,square_feet_2009,construction_type,has_additions,asce_evaluated
Abernathy Elementary,K-5,2,1925,48438,LRCW,No,N
Ainsworth Elementary,K-5,3,1912,55273,LRCW,No,Y
Alameda Elementary,K-5,2,1921,60840,Wood,No,Y
Arleta Elementary,K-6,2,1929,76489,LRCW,Yes,N
Astor Elementary,K-6,1,1949,47360,Wood,Yes,N
Atkinson Elementary,K-5,1,1952,58057,Wood,No,N
Beach Elementary,PK-7,3,1928,66633,LRCW,No,N
Beaumont Middle School,6-8,3,1926,94431,LRCW,No,N
Benson High School,9-12,2,1916,402846,URM,Yes,N
Boise Elliot Elementary,PK-6,2,1926,61369,LRCW,No,N
Bridger Elementary,K-6,1,1951,43158,Wood,Yes,N
Bridlemile Elementary,K-5,1,1958,58057,Wood,Yes,N
Buckman Elementary,K-5,3,1921,82023,LRCW,Yes,N
Capitol Hill Elementary,K-5,2,1917,46379,Wood,Yes,N
Chapman Elementary,K-5,3,1923,59969,LRCW,Yes,Y
Chief Joseph Elementary,PK-5,1,1949,44412,Wood,No,N
Clarendon Elementary closed,2007,1,1970,42958,Wood,No,N
Cleveland High School,9-12,3,1928,251892,LRCW,Yes,Y
Creative Science Elementary,K-5,1,1955,50595,Masonry,Yes,N
Creston Elementary,K-6,1,1948,70765,Wood,Yes,Y
DaVinci,6-8,3,1928,91876,LRCW,Yes,N
Duniway Elementary,K-5,2,1926,67492,LRCW,No,N
East Sylvan,6,2,1933,24986,Wood,No,N
Faubion Elementary,PK-6,1,1950,57846,Wood,No,N
Fernwood Middle School,2-8,3,1911,73091,URM,Yes,N
Forest Park,K-5,2,1998,41898,Concrete,No,N
Franklin High School,9-12,3,1915,237027,URM,Yes,N
George Middle School,6-8,1,1950,78713,URM,No,Y
Glencoe Elementary,K-5,2,1923,63482,LRCW,Yes,N
Grant High School,9-12,2,1923,269350,URM,Yes,Y
Gray Middle School,6-8,2,1952,60624,Wood,No,N
Gregory Heights Middle School,K-8,2,1923,95438,LRCW,Yes,N
Grout Middle School,K-5,3,1927,65838,LRCW,No,N
Harrison Park Middle School,6-8,1,1949,109059,Wood,No,Y
Hayhurst Elementary,K-5,1,1954,56266,Wood,Yes,N
Hollyrood Elementary,K-2,1,1958,15701,Steel,No,N
Hosford Middle School,6-8,3,1925,77050,LRCW,No,Y
Humboldt Elementary,PK-6,1,1959,42920,Wood,No,Y
Irvington Elementary,K-6,2,1932,65285,LRCW,Yes,N
Jackson Middle School,6-8,2,1966,247779,Concrete,No,Y
James John Elementary,K-5,2,1929,63697,LRCW,No,N
Jefferson High School,9-12,4,1909,360911,URM,Yes,N
Kellogg Middle School closed,2007,3,1913,94592,Concrete,Yes,N
Kelly Elementary,K-5,1,1952,82895,Wood,Yes,N
King Elementary,PK-7,2,1925,88957,LRCW,Yes,N
Lane Middle School,6-8,2,1927,87438,LRCW,Yes,Y
Laurelhurst Elementary,K-5,2,1923,44251,LRCW,No,N
Lee Elementary,K-6,1,1953,73276,Wood,No,N
Lent Elementary,K-6,1,1949,74131,Wood,No,N
Lewis Elementary,K-5,1,1952,48380,Wood,No,N
Lincoln High School,9-12,3,1951,233293,Concrete,Yes,N
Llewelyn Elementary,K-5,2,1928,49755,LRCW,No,Y
Madison High School,9-12,3,1955,370112,Concrete,Yes,N
Maplewood Elementary,K-5,1,1948,34353,Wood,No,N
Markham Elementary,K-5,1,1951,82794,Wood,Yes,N
Marshall,9-12,3,1960,271427,Concrete,No,N
Marysville Elementary,K-6,1,1921,53490,Wood,Yes,N
Meek / Alliance,9-12,1,1953,32477,Wood,Yes,N
Metro Learning Center,K-12,3,1914,68135,LRCW,No,N
Mt. Tabor Middle School,6-8,1,1952,83076,Wood,Yes,N
Ockley Green,K-8,2,1925,69153,LRCW,Yes,N
Peninsula Elementary,K-6,1,1952,70151,Wood,No,N
Portsmouth / Clarendon,K-8,2,1928,75814,LRCW,Yes,N
Richmond Elementary,PK-5,3,1908,77070,Wood,Yes,Y
Rieke Elementary,K-5,1,1961,30647,Steel,Yes,N
Rigler Elementary,K-6,2,1931,55312,LRCW,Yes,N
Roosevelt High School,9-12,2,1921,271306,URM,Yes,N
Rosa Parks,K-6,2,2006,46657,Wood,No,N
Rose City Park Elementary closed,2007,3,1912,72053,URM,Yes,N
Sabin Elementary,PK-6,3,1928,66929,LRCW,No,Y
Scott Elementary,K-6,1,1949,62681,Wood,No,N
Sellwood Middle School,6-8,3,1914,86823,LRCW,Yes,N
Sitton Elementary,K-5,1,1949,58762,Wood,Yes,N
Skyline Elementary,K-6,2,1939,37245,Wood,No,Y
Stephenson Elementary,K-5,1,1965,40539,Wood,No,N
Sunnyside Elementary,K-8,2,1925,54361,LRCW,No,N
Tubman Middle School,7-8,2,1954,94775,Concrete,No,N
Vernon Elementary,PK-7,3,1931,68091,LRCW,Yes,N
Vestal Elementary,K-6,2,1929,63382,LRCW,Yes,N
West Sylvan Middle School,7-8,2,1954,102209,Wood,No,Y
Whitman Elementary,K-5,1,1954,68763,Wood,No,N
Wilson High School,9-12,3,1954,326062,Concrete,No,Y
Winterhaven @ Brooklyn,K-5,2,1930,38092,LRCW,Yes,N
Woodlawn Elementary,PK-6,1,1926,58608,LRCW,Yes,N
Woodmere Elementary,K-5,1,1954,55324,Wood,No,N
Woodstock Elementary,K-5,1,1910,69135,Wood,No,N
