School ID,School,pct_ela_prof_2425,n_ela_participants_2425,pct_math_prof_2425,n_math_participants_2425,pct_ela_prof_2324,n_ela_participants_2324,pct_math_prof_2324,n_math_participants_2324
822,Abernethy Elementary School,81.6,163,77.3,164,81.4,201,79.5,196
823,Ainsworth Elementary School,78.5,302,76.4,301,79.8,302,72.3,302
824,Alameda Elementary School,84,244,81.1,243,78.8,261,78.2,259
826,Arleta Elementary School,47.4,137,47.4,135,51,151,42.6,148
827,Astor Elementary School,54.7,277,46.7,272,52.8,250,47.5,243
828,Atkinson Elementary School,60.8,171,53.6,170,60.1,172,59.4,168
829,Rosa Parks Elementary School,17.3,83,11.1,83,17,94,13.8,94
830,Beach Elementary School,54.9,174,50.3,174,55.2,176,50.3,175
831,Beaumont Middle School,65.1,418,60.5,417,60,424,53.9,422
833,Boise-Eliot Elementary School,19.9,154,14.8,152,23.6,148,21.6,148
834,Bridger Creative Science School,55.5,277,42.9,276,52.9,312,37.4,331
835,Bridlemile Elementary School,77.9,213,73.7,213,76.4,209,71.2,209
837,Buckman Elementary School,54,176,44,175,54.9,196,46.4,195
838,Capitol Hill Elementary School,67.5,160,62.1,161,64,179,60.2,177
839,Chapman Elementary School,45.5,171,39.8,169,49.3,152,40,154
840,Chief Joseph Elementary School,63,127,55.2,125,61.8,131,55.1,127
841,César Chávez K-8 School,20.9,305,13,302,21,336,11.2,336
842,Harrison Park School,48.8,380,40.5,383,50.9,314,33.2,315
843,Creston Elementary School,66.1,122,67.2,120,64.5,126,54.8,126
844,Duniway Elementary School,70.1,211,71.9,210,69.1,205,67.6,204
847,Faubion Elementary School,22.9,388,16.5,380,20.8,383,16.4,385
849,George Middle School,25.4,373,14.1,376,19.2,374,10.9,366
850,Glencoe Elementary School,78.6,196,75,196,67.9,184,65.2,184
852,Gray Middle School,70.7,444,57.3,439,71.7,456,55.2,454
854,Grout Elementary School,56.2,150,53.1,149,50,160,50.6,160
855,Hayhurst Elementary School,67.3,319,61.6,315,69.2,330,63.2,330
857,Beverly Cleary School,78.3,404,70.9,402,74.9,411,71.5,408
858,Hosford Middle School,66,520,51.2,522,54.3,511,44,499
861,Irvington Elementary School,66.4,128,57.8,128,62.8,113,55.3,114
862,James John Elementary School,32.8,181,23.4,179,27.4,181,27.7,179
863,Kellogg Middle School,46.8,586,35.1,582,41.3,632,29.2,627
864,Kelly Elementary School,29.7,200,29,198,28.6,186,19.9,185
