area_id,area_name,geography,year,total_population,households,employment,age_breakdown,source
banks,Banks,jurisdiction,2020,1959,580,579,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
banks,Banks,jurisdiction,2030,2022,619,636,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
banks,Banks,jurisdiction,2045,2021,622,670,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
barlow,Barlow,jurisdiction,2020,137,40,628,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
barlow,Barlow,jurisdiction,2030,130,40,580,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
barlow,Barlow,jurisdiction,2045,119,40,602,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
beaverton,Beaverton,jurisdiction,2020,99490,39895,63500,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
beaverton,Beaverton,jurisdiction,2030,114525,47544,65005,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
beaverton,Beaverton,jurisdiction,2045,119156,51262,72693,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
canby,Canby,jurisdiction,2020,17161,6564,3863,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
canby,Canby,jurisdiction,2030,19582,7833,3913,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
canby,Canby,jurisdiction,2045,19681,8312,4312,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
cornelius,Cornelius,jurisdiction,2020,12534,3773,2873,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
cornelius,Cornelius,jurisdiction,2030,14606,4552,3086,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
cornelius,Cornelius,jurisdiction,2045,17322,5594,3895,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
durham,Durham,jurisdiction,2020,1878,686,1683,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
durham,Durham,jurisdiction,2030,1859,703,1718,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
durham,Durham,jurisdiction,2045,1793,703,1842,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
estacada,Estacada,jurisdiction,2020,4091,1513,1250,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
estacada,Estacada,jurisdiction,2030,5227,2022,1354,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
estacada,Estacada,jurisdiction,2045,5267,2246,1454,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
fairview,Fairview,jurisdiction,2020,9024,3654,3048,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
fairview,Fairview,jurisdiction,2030,9538,4039,3633,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
fairview,Fairview,jurisdiction,2045,9797,4388,5355,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
forest_grove,Forest Grove,jurisdiction,2020,26370,9058,7120,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
forest_grove,Forest Grove,jurisdiction,2030,30702,10918,6964,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
forest_grove,Forest Grove,jurisdiction,2045,33592,12380,7299,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
gladstone,Gladstone,jurisdiction,2020,11960,4568,2911,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
gladstone,Gladstone,jurisdiction,2030,12071,4727,3159,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
gladstone,Gladstone,jurisdiction,2045,12021,4777,3926,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
gresham,Gresham,jurisdiction,2020,113409,41195,40562,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
gresham,Gresham,jurisdiction,2030,119476,45384,47161,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
gresham,Gresham,jurisdiction,2045,122154,49067,55902,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
happy_valley,Happy Valley,jurisdiction,2020,22556,6893,7823,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
happy_valley,Happy Valley,jurisdiction,2030,41314,13203,9105,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
happy_valley,Happy Valley,jurisdiction,2045,57362,20210,12367,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
hillsboro,Hillsboro,jurisdiction,2020,105153,42338,84623,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
hillsboro,Hillsboro,jurisdiction,2030,122598,51103,92918,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
hillsboro,Hillsboro,jurisdiction,2045,128270,55409,102430,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
johnson_city,Johnson City,jurisdiction,2020,572,285,317,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
johnson_city,Johnson City,jurisdiction,2030,589,307,314,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
johnson_city,Johnson City,jurisdiction,2045,848,486,340,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
king_city,King City,jurisdiction,2020,4718,2442,708,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
king_city,King City,jurisdiction,2030,6961,3730,879,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
king_city,King City,jurisdiction,2045,8985,4990,1108,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
lake_oswego,Lake Oswego,jurisdiction,2020,40035,17257,21525,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
lake_oswego,Lake Oswego,jurisdiction,2030,41947,18909,21441,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
lake_oswego,Lake Oswego,jurisdiction,2045,42133,19486,23825,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
maywood_park,Maywood Park,jurisdiction,2020,764,356,222,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
