District ID,District Name,School ID,School Name,Principal,Grades,School Type,County,Student Enrollment,Ever English Learners,Languages Spoken,Students with Disabilities,Students Experiencing Poverty,Required Childhood Vaccinations,Teachers,Educational Assistants,Counselors/Psychologists/Social Workers,Average Teacher Retention Rate,Experienced Teachers,Same Principal in the Last 3 Years,Class Size,Class Size Change from Last Year,Class Size Change Value,Oregon Class Size Average,Regular Attenders,Regular Attenders Change from Last Year,Regular Attenders Change Value,Oregon Regular Attenders Average,English Language Arts,ELA Change from Last Year,ELA Change Value,Oregon ELA Average,Mathematics,Mathematics Change from Last Year,Mathematics Change Value,Oregon Mathematics Average,Science,Science Change from Last Year,Science Change Value,Oregon Science Average,On-Track to Graduate,On-Track to Graduate Change from Last Year,On-Track to Graduate Change Value,Oregon On-Track to Graduate Average,On-Time Graduation 2023-2024,On-Time Graduation Change from Last Year,On-Time Graduation Change Value,Oregon On-Time Graduation 2023-24 Average,Five-Year Completion 2023-24,Five-Year Completion Change from Last Year,Five-Year Completion Change Value,Oregon Five-Year Completion 2023-24 Average,College Going 2022-23,College Going Change from Last Year,College Going Change Value,Oregon College Going 2022-23 Average
2063,Adel SD 21,498,Adel Elementary School,Lane Stratton,Grade(s) K-8,E,Lake,11,*,2,*,*,100%,2,0,0,100%,100%,Yes,5.5,Decrease,5,23,73%,Increase,9%,67%,*,Unavailable,,43%,*,Unavailable,,33%,*,Unavailable,,29%,,,,,,,,,,,,,,,,
2113,Adrian SD 61,707,Adrian Elementary School,Nick Ketterling,Grade(s) K-8,E,Malheur,205,9%,3,11%,36%,92%,13,7,0,84%,72%,Yes,23,Increase,1,23,91%,Increase,3%,67%,79%,Increase,4%,43%,69%,Increase,5%,33%,64%,Increase,3%,29%,,,,,,,,,,,,,,,,
2113,Adrian SD 61,708,Adrian High School,Bill Wortman,Grade(s) 9-12,H,Malheur,79,19%,3,*,33%,88%,9,0,1,82%,65%,Yes,9.5,No Change,,23,78%,Increase,1%,67%,,,,,,,,,,,,,>95%,No Change,,87%,100%,Increase,6%,82%,100%,No Change,,87%,73%,Increase,23%,55%
1899,Alsea SD 7J,17,Alsea Charter School,Krista Nieraeth,Grade(s) K-12,H,Benton,232,*,5,21%,44%,88%,10,<1,0,62%,72%,No,14,Increase,1,23,65%,Decrease,3%,67%,,,,,,,,,,,,,*,Unavailable,,87%,35%,Decrease,5%,82%,46%,No Change,,87%,17%,Increase,2%,55%
2252,Amity SD 4J,1208,Amity Elementary School,Jessica Rojas,Grade(s) K-5,E,Yamhill,324,7%,4,15%,31%,89%,18,9,0,84%,63%,No,18,Decrease,2,23,76%,Increase,4%,67%,34%,Increase,5%,43%,31%,Increase,8%,36%,31%,Increase,18%,31%,,,,,,,,,,,,,,,,
2252,Amity SD 4J,1210,Amity High School,Ryan Sticka,Grade(s) 9-12,H,Yamhill,240,10%,7,14%,18%,92%,18,2,1,85%,79%,No,17,Decrease,1,23,73%,Increase,4%,67%,,,,,,,,,,,,,>95%,Increase,>3%,87%,83%,Decrease,13%,82%,98%,Increase,7%,87%,43%,Decrease,5%,55%
2252,Amity SD 4J,1209,Amity Middle School,Mary Matocha,Grade(s) 6-8,M,Yamhill,160,15%,3,17%,31%,92%,12,3,0,90%,80%,Yes,16,Decrease,1,23,72%,Increase,2%,67%,38%,Decrease,2%,43%,16%,Increase,3%,30%,15%,Decrease,6%,28%,,,,,,,,,,,,,,,,
2111,Annex SD 29,705,Annex Charter School,Kim Voile,Grade(s) K-8,E,Malheur,132,*,2,11%,39%,80%,8,7,0,88%,50%,Yes,16.5,Increase,6,23,89%,Increase,13%,67%,37%,Decrease,25%,43%,42%,Decrease,11%,33%,*,Unavailable,,29%,,,,,,,,,,,,,,,,
2005,Arlington SD 3,323,Arlington Community Charter School,Jonathan Fost,Grade(s) K-12,H,Gilliam,120,*,1,16%,49%,97%,0,1,0,87%,93%,Yes,11,Increase,2,23,57%,Increase,2%,67%,,,,,,,,,,,,,93%,Unavailable,,87%,100%,Increase,8%,82%,92%,Increase,1%,87%,33%,Unavailable,,55%
2115,Arock SD 81,711,W W Jones Elementary School,Vicki McConnell,Grade(s) K-8,E,Malheur,12,*,2,*,*,100%,2,<1,0,92%,100%,Yes,6,Increase,2,23,92%,Decrease,>3%,67%,*,Unavailable,,43%,*,Unavailable,,33%,*,Unavailable,,29%,,,,,,,,,,,,,,,,
2041,Ashland SD 5,381,Ashland High School,Francisco Atanes,Grade(s) 9-12,H,Jackson,828,<5%,12,11%,23%,72%,43,10,3,83%,94%,Yes,19,No Change,,23,64%,Decrease,8%,67%,,,,,,,,,,,,,>95%,Increase,>6%,87%,89%,Decrease,1%,82%,96%,No Change,,87%,69%,Increase,6%,55%
