project_name,address,city,zip,latitude,longitude,total_units,affordable_units,family_units_estimate,status,expected_year,source
MUSEUM PLACE SOUTH,1030 SW JEFFERSON ST,Portland,97201,45.51552,-122.68519,140.0,140.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
TAGGART MANOR,8018 SE TAGGART ST,Portland,97206,45.50215,-122.58022,24.0,24.0,,in_service,2002.0,OAHI (data.oregon.gov p9yn-ftai)
NORTH WILLIAMS APTS,2124 N WILLIAMS AVE,Portland,97227,45.53854,-122.66671,61.0,61.0,51.0,in_service,,OAHI (data.oregon.gov p9yn-ftai)
ROSE CITY CONDOS,(UNKNOWN),Portland,97266,,,4.0,4.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
915 SE MALL ST,915 SE MALL ST,Portland,97202,45.49141,-122.65481,4.0,4.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
9121 N BURR AVE,9121 N BURR AVE,Portland,97203,45.59121,-122.74028,107.0,107.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
Our House,2727 SE Alder,Portland,97214,45.51786,-122.63739,30.0,14.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
550 NE FARGO,550 NE FARGO ST,Portland,97212,45.54637,-122.65948,2.0,2.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
1712 SE STARK ST,1712 SE STARK ST,Portland,97214,45.51933,-122.64814,2.0,2.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
JUBILEE REDWOODS I,1249 N PRESCOTT ST,Portland,97217,45.55548,-122.67979,8.0,8.0,,in_service,1997.0,OAHI (data.oregon.gov p9yn-ftai)
FESSENDEN COURT,7936 N FESSENDEN ST,Portland,97203,45.59574,-122.74476,9.0,9.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
2425 SE YAMHILL ST,2425 SE YAMHILL ST,Portland,97214,45.51574,-122.64085,2.0,2.0,,in_service,1996.0,OAHI (data.oregon.gov p9yn-ftai)
"Vera, The",2095 SW RIVER PARKWAY,Portland,97201,45.5071,-122.67387,375.0,201.0,52.0,in_service,2019.0,OAHI (data.oregon.gov p9yn-ftai)
HOLGATE PROJECT,12012 SE HOLGATE BLVD,Portland,97266,45.48966,-122.5396,10.0,10.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
1638 SE ANKENY ST,1638 SE ANKENY ST,Portland,97214,45.52219,-122.64875,3.0,3.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
Blackburn Building,12015 E Burnside Street,Portland,97230,45.52258,-122.53894,123.0,124.0,,in_service,2017.0,OAHI (data.oregon.gov p9yn-ftai)
Ridgecrest Timbers,8870 N Columbia Boulevard,Portland,97203,45.60456,-122.75152,97.0,97.0,76.0,in_service,1999.0,OAHI (data.oregon.gov p9yn-ftai)
Powell Boulevard Apartments,2101 SE POWELL BLVD,Portland,97202,45.49929,-122.64442,20.0,19.0,2.0,in_service,,OAHI (data.oregon.gov p9yn-ftai)
McCuller Crossing,236 N Killingsworth,Portland,97217,45.5627,-122.66937,40.0,40.0,32.0,in_service,2000.0,OAHI (data.oregon.gov p9yn-ftai)
St Anthony Village,3560 SE 79th Street,Portland,97206,45.49622,-122.58253,127.0,100.0,7.0,in_service,1999.0,OAHI (data.oregon.gov p9yn-ftai)
1455 NE GOING ST,1455 NE GOING ST,Portland,97211,45.55635,-122.6505,8.0,8.0,,in_service,2001.0,OAHI (data.oregon.gov p9yn-ftai)
Trenton Terrace,4720 N Trenton Street,Portland,97203,45.58866,-122.71626,66.0,66.0,,in_service,2007.0,OAHI (data.oregon.gov p9yn-ftai)
Upshur House,2650 NW Upshur Street,Portland,97210,45.53583,-122.70651,30.0,30.0,22.0,in_service,2010.0,OAHI (data.oregon.gov p9yn-ftai)
Waterleaf (fka RiverPlace Phase 2),2065 S River Parkway,Portland,97201,45.50717,-122.67413,178.0,178.0,50.0,in_service,2022.0,OAHI (data.oregon.gov p9yn-ftai)
ROSELAWN COTTAGE & LODGE,913 NE ROSELAWN ST,Portland,97211,45.56123,-122.65605,8.0,8.0,,in_service,2002.0,OAHI (data.oregon.gov p9yn-ftai)
CARITAS PLAZA,2830 N WILLIAMS AVE,Portland,97227,45.54315,-122.66667,30.0,30.0,2.0,in_service,,OAHI (data.oregon.gov p9yn-ftai)
New Columbia Trouton,9147 N Woolesy Ct,Portland,97203,45.58889,-122.71341,250.0,250.0,180.0,in_service,2006.0,OAHI (data.oregon.gov p9yn-ftai)
FREMONT MANOR,233 N FREMONT ST,Portland,97227,45.54824,-122.6687,28.0,28.0,10.0,in_service,1999.0,OAHI (data.oregon.gov p9yn-ftai)
FIR ACRES,19401 SE YAMHILL ST,Portland,97233,45.51547,-122.46319,32.0,32.0,,in_service,2010.0,OAHI (data.oregon.gov p9yn-ftai)
Harvey Rice Heritage,5734-5778 NE 72nd Avenue,Portland,97218,45.56438,-122.58891,12.0,41.0,23.0,in_service,2022.0,OAHI (data.oregon.gov p9yn-ftai)
GENERATIONS FOSTER ELEMENTRY SCHOOL,5205 SE 86TH AVE,Portland,97266,45.48491,-122.57493,5.0,5.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
426 NE TILLAMOOK ST,426 NE TILLAMOOK ST,Portland,97212,45.53789,-122.66102,2.0,2.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
Peter Paulson Apartments,1530 SW 13th Avenue,Portland,97201,45.51498,-122.68829,92.0,92.0,,in_service,1995.0,OAHI (data.oregon.gov p9yn-ftai)
