permit_id,issue_date,address,latitude,longitude,units,work_description,valuation
21-071705-000-00-RS,2022-01-03,7731 SE 72ND AVE,45.4674704,-122.5902554,1,New Construction | Single Family Dwelling,211984.0
21-078743-000-00-MI,2022-01-03,8933 NE THOMPSON ST - Unit B,45.5388596,-122.5706738,1,New Construction | Accessory Dwelling Unit | ADU,35000.0
19-221899-000-00-RS,2022-01-03,13435 NE DAVIS CT,45.5248612,-122.5242122,1,New Construction | Single Family Dwelling,440999.0
21-036116-000-00-CO,2022-01-03,1420 NE KILLINGSWORTH ST,45.5625219,-122.6509768,29,New Construction | Apartments/Condos,5690355.0
21-036216-000-00-CO,2022-01-03,5778 NE 72ND AVE,45.5644837,-122.5884589,6,New Construction | Apartments/Condos,1696874.0
21-037908-000-00-CO,2022-01-03,5754 NE 72ND AVE,45.5644837,-122.5884589,6,New Construction | Apartments/Condos,1738094.0
19-267500-000-00-RS,2022-01-03,4845 SE 63RD AVE - Unit A,45.4876018,-122.5983019,1,New Construction | Single Family Dwelling,191405.0
19-267462-000-00-RS,2022-01-03,4851 SE 63RD AVE - Unit A,45.4875196,-122.5982988,1,New Construction | Single Family Dwelling,191405.0
21-015591-000-00-RS,2022-01-05,9745 N HODGE AVE,45.5932739,-122.7203531,1,New Construction | Single Family Dwelling,204470.0
21-015564-000-00-RS,2022-01-05,9751 N HODGE AVE,45.593359,-122.7203525,1,New Construction | Single Family Dwelling,214222.0
21-067767-000-00-RS,2022-01-05,3065 SW CAROLINA ST,45.4784862,-122.7085237,1,New Construction | Single Family Dwelling,484951.0
21-061365-000-00-RS,2022-01-05,6324 SE 87TH AVE,45.4771343,-122.5732643,1,New Construction | Single Family Dwelling,177332.0
21-025614-000-00-RS,2022-01-05,3222 NE 50TH AVE,45.5465174,-122.6113701,1,New Construction | Single Family Dwelling | ADU,521554.0
21-040351-000-00-RS,2022-01-06,15467 SE HAWTHORNE MEADOWS ST,45.468376,-122.5044045,1,New Construction | Single Family Dwelling,422028.0
20-197600-000-00-CO,2022-01-06,1010 SE ASH ST,45.5211355,-122.6551541,104,New Construction | Apartments/Condos,18500000.0
21-045689-000-00-CO,2022-01-06,322 SW 11TH AVE,45.5224774,-122.6818943,66,Alteration | Apartments/Condos,10896989.0
20-162057-000-00-RS,2022-01-06,3922 SE BOISE ST - Unit B,45.4921616,-122.6220514,1,Alteration | Accessory Dwelling Unit | ADU,20410.0
