area_id,area_name,area_type,county,year,age_group,sex,total_population,source_file,source_note
Clackamas County,Clackamas County,county,Clackamas,1990,0-4,female,9923.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,1990,0-4,male,10252.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,1990,10-14,female,10750.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,1990,10-14,male,11372.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,1990,15-19,female,9230.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,1990,15-19,male,9982.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,1990,20-24,female,7636.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,1990,20-24,male,7886.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,1990,25-29,female,9435.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,1990,25-29,male,9153.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,1990,30-34,female,11990.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,1990,30-34,male,11338.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,1990,35-39,female,13223.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,1990,35-39,male,12610.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,1990,40-44,female,13023.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,1990,40-44,male,12576.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,1990,45-49,female,9708.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,1990,45-49,male,10026.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,1990,5-9,female,10571.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,1990,5-9,male,11155.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,1990,50-54,female,7096.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,1990,50-54,male,7221.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,1990,55-59,female,5832.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,1990,55-59,male,5737.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,1990,60-64,female,5689.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,1990,60-64,male,5258.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,1990,65-69,female,5692.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,1990,65-69,male,4874.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,1990,70-74,female,4534.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,1990,70-74,male,3639.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,1990,75-79,female,3644.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,1990,75-79,male,2590.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,1990,80-84,female,2509.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,1990,80-84,male,1427.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,1990,85+,female,2367.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,1990,85+,male,914.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,2000,0-4,female,10737.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,2000,0-4,male,11170.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,2000,10-14,female,12875.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,2000,10-14,male,13642.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,2000,15-19,female,11547.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,2000,15-19,male,12569.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,2000,20-24,female,9017.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,2000,20-24,male,9673.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,2000,25-29,female,9573.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,2000,25-29,male,9665.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,2000,30-34,female,10870.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,2000,30-34,male,10815.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,2000,35-39,female,13403.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
Clackamas County,Clackamas County,county,Clackamas,2000,35-39,male,12888.0,age_sex_county_forecasts.xlsx,PSUPRC Estimate
